,ID,Adult,Not Adult,NotInCollection,InCollection,English /Non English,ExYear,ExMonth,ExDay,Canceled,In Production,Planned,Post Production,Released,Rumored,Unknown
11278,28078,1,0,1,0,1,2005,3,17,0,0,0,0,1,0,0
11279,28080,1,0,0,1,1,2005,11,3,0,0,0,0,1,0,0
11280,28083,1,0,1,0,1,2004,9,30,0,0,0,0,1,0,0
11281,28086,1,0,1,0,0,1983,11,12,0,0,0,0,1,0,0
11282,28088,1,0,1,0,0,1969,5,24,0,0,0,0,1,0,0
11283,28090,1,0,1,0,1,1970,7,22,0,0,0,0,1,0,0
11284,28091,1,0,1,0,1,2004,9,16,0,0,0,0,1,0,0
11285,28095,1,0,1,0,0,1989,10,30,0,0,0,0,1,0,0
11286,28096,1,0,1,0,1,1958,7,4,0,0,0,0,1,0,0
11287,28098,1,0,1,0,1,2004,6,19,0,0,0,0,1,0,0
11288,28100,1,0,1,0,1,2004,4,20,0,0,0,0,1,0,0
11289,28101,1,0,1,0,1,1938,9,30,0,0,0,0,1,0,0
11290,28102,1,0,1,0,1,1940,9,2,0,0,0,0,1,0,0
11291,28109,1,0,1,0,1,2004,11,6,0,0,0,0,1,0,0
11292,28113,1,0,1,0,1,1934,8,31,0,0,0,0,0,1,0
11293,28114,1,0,1,0,1,1933,5,27,0,0,0,0,1,0,0
11294,28115,1,0,1,0,1,1971,10,11,0,0,0,0,1,0,0
11295,28116,1,0,1,0,1,2005,10,20,0,0,0,0,1,0,0
11296,28117,1,0,1,0,1,2003,8,14,0,0,0,0,1,0,0
11297,28118,1,0,1,0,1,2005,9,9,0,0,0,0,1,0,0
11298,28120,1,0,1,0,1,1961,2,28,0,0,0,0,1,0,0
11299,28122,1,0,1,0,0,2005,3,30,0,0,0,0,1,0,0
11300,28123,1,0,1,0,1,2005,1,25,0,0,0,0,1,0,0
11301,28127,1,0,1,0,0,2004,10,29,0,0,0,0,1,0,0
11302,28128,1,0,1,0,1,2005,10,21,0,0,0,0,1,0,0
11303,28129,1,0,1,0,1,2005,10,21,0,0,0,0,1,0,0
11304,28132,1,0,1,0,1,2015,12,25,0,0,0,0,1,0,0
11305,28133,1,0,1,0,1,2005,2,9,0,0,0,0,1,0,0
11306,28136,1,0,1,0,0,1998,10,31,0,0,0,0,1,0,0
11307,28137,1,0,1,0,0,1967,12,19,0,0,0,0,1,0,0
11308,28141,1,0,0,1,1,1955,8,26,0,0,0,0,1,0,0
11309,28149,1,0,1,0,0,1950,1,10,0,0,0,0,1,0,0
11310,28152,1,0,1,0,0,1972,9,3,0,0,0,0,1,0,0
11311,28153,1,0,1,0,0,1978,8,2,0,0,0,0,1,0,0
11312,28156,1,0,1,0,1,2014,4,19,0,0,0,0,1,0,0
11313,28158,1,0,1,0,1,2005,9,14,0,0,0,0,1,0,0
11314,28159,1,0,1,0,0,2004,1,10,0,0,0,0,1,0,0
11315,28162,1,0,0,1,1,2006,6,28,0,0,0,0,1,0,0
11316,28164,1,0,1,0,1,2012,3,30,0,0,0,0,1,0,0
11317,28166,1,0,1,0,0,2005,5,17,0,0,0,0,1,0,0
11318,28172,1,0,1,0,0,2001,11,16,0,0,0,0,1,0,0
11319,28173,1,0,1,0,1,2014,8,1,0,0,0,0,1,0,0
11320,28176,1,0,1,0,0,2004,11,24,0,0,0,0,1,0,0
